0.911830294	497
0.911507029	487
0.911435586	391
0.911336066	477
0.911374752	442
0.911369827	394
0.911293606	377
0.91168966	382
0.911662558	428
0.911768363	374
0.911672849	371
0.911737955	370
0.911999843	484
0.912367764	457
0.912303267	158
0.912513451	437
0.91246178	427
0.912426869	458
0.912312194	466
0.912246714	454
0.912108838	187
0.9120606	190
0.912032656	381
0.911953835	431
0.911942492	417
0.911808124	166
0.911770766	490
0.911743709	460
0.911677366	139
0.911614349	471
0.911582858	74
0.911665554	446
0.911650228	375
0.911589781	78
0.91149229	157
0.911426362	179
0.911508203	393
0.911481158	424
0.911506337	461
0.911554021	481
0.911580584	422
0.911471962	358
0.911814077	372
0.911771781	495
0.911707252	459
0.911583194	211
0.911607782	418
0.911636888	447
0.911687576	496
0.911570338	492
0.911413259	308
0.911431508	440
0.911366023	186
0.911739624	425
0.911766601	164
0.911610934	89
0.911616806	202
0.91162266	395
0.911466186	118
0.911517278	464
0.911472021	469
0.911569994	412
0.911449893	250
0.911360814	390
0.911255368	480
0.911204676	183
0.911222925	489
0.911170236	500
0.91115437	219
0.911170118	319
0.911201173	476
0.911185533	388
0.911150066	72
0.911083467	501
0.910986554	51
0.911000365	383
0.910884688	478
0.910858681	483
0.910897359	90
0.910736919	354
0.910719695	474
0.910594694	19
0.910731573	34
0.910545391	223
0.910524864	110
0.910544327	169
0.910524224	482
0.910482904	327
0.910456308	111
0.910451395	356
0.910328577	141
0.910372379	380
0.910601302	432
0.91025032	127
0.910274346	298
0.910253731	113
0.910236526	228
0.91021968	499
0.910072439	410
0.910271961	278
0.909910979	152
0.909803125	279
0.909916328	329
0.909935613	63
0.909754036	6
0.909809185	264
0.909749517	134
0.909602872	281
0.909723376	188
0.909709641	322
0.909603765	362
0.909573812	243
0.909651053	397
0.909551065	452
0.90951661	330
0.909549135	194
0.909390526	352
0.909323152	82
0.909336012	463
0.909264408	404
0.909351641	131
0.909182839	376
0.909288118	284
0.909187724	254
0.90925127	184
0.909275715	270
0.909317724	50
0.909196966	249
0.909132043	87
0.909145778	10
0.909029744	338
